origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan,result
SO360181,0.05899,0.013594,106.80130759999999,-6.4960561,BOJONG GEDE,59
SO360119,0.11555750000000001,0.061348,106.76832749999998,-6.508535,BOJONG GEDE,59
SO360040,0.043892,0.00861,106.7747459,-6.4688417000000005,TAJUR HALANG,59
SO359986,0.096364585,0.017549799999999997,106.79258359999999,-6.5147275,SUKARAJA,59
SO359946,0.03458003,0.010816,106.793953,-6.483336,BOJONG GEDE,59
SO359719,0.56800102,0.170875,106.78118300000001,-6.488108,TAJUR HALANG,59
SO359598,0.159191,0.037991000000000004,106.7871952,-6.5089656,BOJONG GEDE,59
SO359517,0.12637498,0.06515,106.7364644,-6.4989297,KEMANG,59
SO359418,0.20405,0.0968,106.7892108,-6.4953564,BOJONG GEDE,59
SO359230,0.07937125,0.016,106.80197209999999,-6.5058312,CIBINONG,59
SO358962,0.06975545,0.033964,106.78582560000001,-6.491391999999999,BOJONG GEDE,59
SO360978,0.077782,0.01056,106.8371283,-6.4633465999999995,CIBINONG,60
SO360711,0.269642257,0.130448,106.8082072,-6.463617,BOJONG GEDE,60
SO359849,0.07404792,0.029684,106.8396082,-6.456346900000001,CIBINONG,60
SO359498,0.06012245,0.028980000000000002,106.84361080000001,-6.4748675,CIBINONG,60
SO359452,0.233368,0.06,106.7989929,-6.4810748,BOJONG GEDE,60
SO359345,0.025688,0.00081,106.80522679999999,-6.4628622,BOJONG GEDE,60
SO359293,0.287074,0.126319,106.806145,-6.46585,BOJONG GEDE,60
SO359264,0.087535,0.045,106.798776,-6.45421,BOJONG GEDE,60
SO359198,0.052521000000000005,0.027000000000000003,106.79286450000001,-6.4697412000000005,BOJONG GEDE,60
SO359115,0.051376,0.009125,106.8088504,-6.448005200000001,BOJONG GEDE,60
SO358993,0.04757616,0.01819,106.83408850000001,-6.4687932,CIBINONG,60
SO361065,0.09524550000000001,0.0192,106.7320894,-6.4163533,PARUNG,61
SO360289,0.388682,0.046973,106.71145530000001,-6.489514,KEMANG,61
SO360188,0.16097084,0.084442,106.6419294,-6.4548328,RUMPIN,61
SO359980,0.04156225,0.00426,106.7242136,-6.4373915,,61
SO358950,0.06294892,0.023694999999999997,106.7354952,-6.4589096,TAJUR HALANG,61
SO360839,0.025688,0.00024,106.7858757,-6.4500760999999995,BOJONG GEDE,62
SO360649,0.243967655,0.036184,106.78021899999999,-6.4343995000000005,SAWANGAN,62
SO360430,0.393032585,0.026706800000000003,106.78391459999999,-6.4324684,SAWANGAN,62
SO359693,0.154128,0.010058,106.80320900000001,-6.441913,CIPAYUNG,62
SO359528,1.38688342,0.7516,106.78998600000001,-6.4503379999999995,BOJONG GEDE,62
SO359450,0.11611179999999999,0.059257000000000004,106.7864473,-6.447650299999999,BOJONG GEDE,62
SO359431,0.05368099999999999,0.02371,106.78428799999999,-6.447878,BOJONG GEDE,62
SO359156,0.07331075,0.01105,106.7810415,-6.4347606,,62
SO358889,0.06632853,0.015666,106.7862815,-6.4455260999999995,BOJONG GEDE,62
SO359665,0.21293299999999998,0.034916,106.79623000000001,-6.41469,CIPAYUNG,63
SO359652,0.313133,0.16262,106.811624,-6.42225,CIPAYUNG,63
SO359314,0.179816,0.012058,106.7985176,-6.417022599999999,CIPAYUNG,63
SO359084,0.153045125,0.039475,106.813076,-6.427965,CIPAYUNG,63
SO360492,0.13605484,0.08220000000000001,106.75683909999998,-6.4133986,SAWANGAN,64
SO360457,0.101304785,0.09277,106.75591159999999,-6.4194942,SAWANGAN,64
SO358899,0.35014,0.18,106.77083970000001,-6.4202379,SAWANGAN,64
SO360032,0.11647443,0.06095,106.76892790000001,-6.3907972,PANCORAN MAS,65
SO359444,2.38310376,0.825,106.76637,-6.40078,SAWANGAN,65
